"HOUSEID","PERSONID","TDTRPNUM","STRTTIME","ENDTIME","TRVLCMIN","TRPMILES","TRPTRANS","TRPACCMP","TRPHHACC","VEHID","TRWAITTM","NUMTRANS","TRACCTM","DROP_PRK","TREGRTM","WHODROVE","WHYFROM","LOOP_TRIP","TRPHHVEH","HHMEMDRV","HH_ONTD","NONHHCNT","NUMONTRP","PSGR_FLG","PUBTRANS","TRIPPURP","DWELTIME","TDWKND","VMT_MILE","DRVR_FLG","WHYTRP1S","ONTD_P1","ONTD_P2","ONTD_P3","ONTD_P4","ONTD_P5","ONTD_P6","ONTD_P7","ONTD_P8","ONTD_P9","ONTD_P10","ONTD_P11","ONTD_P12","ONTD_P13","TDCASEID","TRACC_WLK","TRACC_POV","TRACC_BUS","TRACC_CRL","TRACC_SUB","TRACC_OTH","TREGR_WLK","TREGR_POV","TREGR_BUS","TREGR_CRL","TREGR_SUB","TREGR_OTH","WHYTO","TRAVDAY","HOMEOWN","HHSIZE","HHVEHCNT","HHFAMINC","DRVRCNT","HHSTATE","HHSTFIPS","NUMADLT","WRKCOUNT","TDAYDATE","HHRESP","LIF_CYC","MSACAT","MSASIZE","RAIL","URBAN","URBANSIZE","URBRUR","GASPRICE","CENSUS_D","CENSUS_R","CDIVMSAR","HH_RACE","HH_HISP","HH_CBSA","SMPLSRCE","R_AGE","EDUC","R_SEX","PRMACT","PROXY","WORKER","DRIVER","WTTRDFIN","WHYTRP90","TRPMILAD","R_AGE_IMP","R_SEX_IMP","VEHTYPE","OBHUR","DBHUR","OTHTNRNT","OTPPOPDN","OTRESDN","OTEEMPDN","OBHTNRNT","OBPPOPDN","OBRESDN","DTHTNRNT","DTPPOPDN","DTRESDN","DTEEMPDN","DBHTNRNT","DBPPOPDN","DBRESDN"
"30003901","01","05","1930","2000",30,13.539,"03",1,1,"01",-1,-1,-1,"-1",-1,"01","13","02","01","01",2,0,2,"02","02","NHB",16,"02",13.539,"01","70","01","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039010105","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","06","03","02",2,1,"07",1,"NY","36",1,1,"201610","01","05","03","03","02","01","03","01","239.5","02","01","23","02","01","XXXXX","02",53,"05","02","01","01","01","01",1101012.10104007,"04",15.0973389,53,"02","01","S","S","20","3000","1500","1500","40","3000","1500","20","1500","750","750","40","1500","750"
"30003901","01","06","2016","2035",19,5.628,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","06","02","01","01",1,0,1,"02","02","NHB",115,"02",5.628,"01","97","01","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039010106","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","05","03","02",2,1,"07",1,"NY","36",1,1,"201610","01","05","03","03","02","01","03","01","239.5","02","01","23","02","01","XXXXX","02",53,"05","02","01","01","01","01",1101012.10104007,"04",6.2757828,53,"02","01","S","C","20","1500","750","750","40","1500","750","60","17000","3000","5000","60","17000","7000"
"30003901","01","07","2230","2245",15,5.589,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","05","02","01","01",1,0,1,"02","02","HBO",-9,"02",5.589,"01","01","01","02","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039010107","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","03","02",2,1,"07",1,"NY","36",1,1,"201610","01","05","03","03","02","01","03","01","239.5","02","01","23","02","01","XXXXX","02",53,"05","02","01","01","01","01",1101012.10104007,"01",5.9997915,53,"02","01","C","S","60","17000","3000","5000","60","17000","7000","20","1500","750","750","40","1500","750"
"30003901","02","01","1730","1800",30,13.55,"03",1,1,"01",-1,-1,-1,"-1",-1,"01","01","02","01","01",2,0,2,"01","02","HBSHOP",90,"02",-1,"02","80","01","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039010201","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","03","02",2,1,"07",1,"NY","36",1,1,"201610","01","05","03","03","02","01","03","01","239.5","02","01","23","02","01","XXXXX","02",15,"01","01","-1","02","-1","02",1143531.41112772,"10",15.109605,15,"01","01","S","S","20","1500","750","750","40","1500","750","20","3000","1500","1500","40","3000","1500"
"30003901","02","02","1930","2000",30,13.539,"03",1,1,"01",-1,-1,-1,"-1",-1,"01","13","02","01","01",2,0,2,"01","02","HBSHOP",-9,"02",-1,"02","01","01","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039010202","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","03","02",2,1,"07",1,"NY","36",1,1,"201610","01","05","03","03","02","01","03","01","239.5","02","01","23","02","01","XXXXX","02",15,"01","01","-1","02","-1","02",1143531.41112772,"10",15.0973389,15,"01","01","S","S","20","3000","1500","1500","40","3000","1500","20","1500","750","750","40","1500","750"
"30003904","01","01","0950","1010",20,5.826,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","01","02","01","01",1,0,1,"02","02","HBSHOP",35,"02",5.826,"01","80","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039040101","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","13","04","02",1,1,"05",1,"WA","53",1,0,"201610","01","09","02","05","02","01","04","01","274.3","09","04","92","01","02","42660","01",70,"03","02","06","01","02","01",967314.256803214,"10",6.4965726,70,"02","01","U","U","50","17000","7000","5000","60","17000","17000","30","7000","3000","3000","50","7000","3000"
"30003904","01","02","1045","1115",30,5.901,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","13","02","01","01",1,0,1,"02","02","NHB",15,"02",5.901,"01","40","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039040102","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","11","04","02",1,1,"05",1,"WA","53",1,0,"201610","01","09","02","05","02","01","04","01","274.3","09","04","92","01","02","42660","01",70,"03","02","06","01","02","01",967314.256803214,"03",6.5802051,70,"02","01","U","U","30","7000","3000","3000","50","7000","3000","60","17000","7000","5000","60","30000","17000"
"30003904","01","03","1130","1144",14,1.165,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","11","02","01","01",1,0,1,"02","02","HBSHOP",106,"02",1.165,"01","01","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039040103","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","01","04","02",1,1,"05",1,"WA","53",1,0,"201610","01","09","02","05","02","01","04","01","274.3","09","04","92","01","02","42660","01",70,"03","02","06","01","02","01",967314.256803214,"10",1.2990915,70,"02","01","U","U","60","17000","7000","5000","60","30000","17000","50","17000","7000","5000","60","17000","17000"
"30003904","01","04","1330","1405",35,3.305,"03",0,0,"01",-1,-1,-1,"-1",-1,"01","01","02","01","01",1,0,1,"02","02","HBO",15,"02",3.305,"01","70","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039040104","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","06","04","02",1,1,"05",1,"WA","53",1,0,"201610","01","09","02","05","02","01","04","01","274.3","09","04","92","01","02","42660","01",70,"03","02","06","01","02","01",967314.256803214,"04",3.6854055,70,"02","01","U","U","50","17000","7000","5000","60","17000","17000","70","17000","7000","5000","80","17000","17000"
"30003904","01","05","1420","1430",10,1.487,"03",2,0,"01",-1,-1,-1,"-1",-1,"01","06","02","01","01",1,2,3,"02","02","NHB",60,"02",1.487,"01","30","01","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","300039040105","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","18","04","02",1,1,"05",1,"WA","53",1,0,"201610","01","09","02","05","02","01","04","01","274.3","09","04","92","01","02","42660","01",70,"03","02","06","01","02","01",967314.256803214,"06",1.6581537,70,"02","01","U","U","70","17000","7000","5000","80","17000","17000","40","17000","7000","5000","50","17000","7000"
