resp_id,wfh,age,income_100k_plus,service_worker
1763,Often,53,TRUE,FALSE
1764,Often,49,FALSE,FALSE
1765,Rarely,48,TRUE,TRUE
1766,Unable,63,TRUE,TRUE
1767,Often,67,TRUE,FALSE
1769,Always,59,TRUE,FALSE
1770,Often,66,FALSE,TRUE
1772,Unable,41,TRUE,TRUE
1773,Unable,62,FALSE,FALSE
1779,Unable,63,FALSE,FALSE
1781,Unable,55,FALSE,TRUE
1783,Often,55,TRUE,FALSE
1784,Unable,60,FALSE,FALSE
1785,Always,56,FALSE,FALSE
1788,Unable,72,FALSE,TRUE
1790,Unable,67,FALSE,TRUE
1791,Unable,54,TRUE,FALSE
1802,Unable,49,FALSE,FALSE
1803,Unable,54,FALSE,TRUE
1805,Unable,48,FALSE,FALSE
1806,Unable,59,FALSE,TRUE
1807,Always,66,TRUE,FALSE
1808,Unable,61,FALSE,TRUE
1809,Often,37,FALSE,FALSE
1811,Often,64,TRUE,TRUE
1812,Unable,41,TRUE,TRUE
1813,Rarely,70,FALSE,TRUE
1817,Unable,65,FALSE,TRUE
1818,Unable,41,FALSE,TRUE
1819,Unable,64,FALSE,FALSE
1822,Rarely,63,TRUE,TRUE
1823,Often,43,FALSE,FALSE
1824,Unable,62,TRUE,TRUE
1825,Rarely,35,TRUE,TRUE
1826,Often,55,TRUE,TRUE
1828,Unable,60,TRUE,TRUE
1831,Unable,32,FALSE,TRUE
1836,Often,61,TRUE,TRUE
1837,Unable,67,TRUE,TRUE
1838,Unable,69,FALSE,FALSE
1839,Unable,55,FALSE,TRUE
1842,Unable,64,TRUE,FALSE
1843,Often,24,FALSE,TRUE
1844,Often,38,FALSE,FALSE
1846,Unable,66,FALSE,FALSE
1848,Always,75,TRUE,TRUE
1849,Unable,62,FALSE,FALSE
1851,Often,60,TRUE,FALSE
1854,Often,60,TRUE,FALSE
1855,Always,49,TRUE,FALSE
1858,Unable,52,FALSE,TRUE
1859,Rarely,64,TRUE,FALSE
1863,Always,62,TRUE,FALSE
1865,Unable,72,FALSE,TRUE
1866,Unable,50,FALSE,FALSE
1867,Often,23,FALSE,FALSE
1869,Unable,40,FALSE,FALSE
1870,Always,63,TRUE,FALSE
1871,Unable,53,TRUE,FALSE
1874,Unable,39,TRUE,TRUE
1880,Always,62,FALSE,FALSE
1882,Always,57,TRUE,TRUE
1884,Rarely,50,FALSE,FALSE
1887,Often,41,FALSE,TRUE
1888,Unable,55,FALSE,TRUE
1889,Often,70,FALSE,FALSE
1891,Often,53,TRUE,FALSE
1892,Unable,23,FALSE,TRUE
1893,Unable,67,FALSE,TRUE
1895,Unable,77,FALSE,TRUE
1896,Unable,70,TRUE,TRUE
1902,Always,62,TRUE,FALSE
1903,Unable,51,TRUE,TRUE
1905,Unable,50,FALSE,FALSE
1907,Unable,39,FALSE,FALSE
1909,Unable,51,TRUE,FALSE
1910,Often,70,TRUE,FALSE
1915,Often,44,TRUE,TRUE
1917,Always,59,TRUE,TRUE
1919,Unable,28,FALSE,TRUE
1920,Often,57,TRUE,FALSE
1921,Always,67,TRUE,FALSE
1922,Always,64,FALSE,FALSE
1923,Often,62,TRUE,TRUE
1925,Unable,25,FALSE,TRUE
1926,Unable,66,FALSE,FALSE
1929,Unable,40,FALSE,TRUE
1933,Often,65,TRUE,FALSE
1934,Always,67,FALSE,FALSE
1937,Always,59,FALSE,TRUE
1941,Always,75,TRUE,FALSE
1946,Often,60,TRUE,TRUE
1951,Often,60,FALSE,FALSE
1955,Unable,54,TRUE,TRUE
1956,Unable,53,FALSE,TRUE
1957,Always,65,FALSE,TRUE
1961,Unable,58,FALSE,FALSE
1964,Unable,65,FALSE,TRUE
1965,Unable,60,TRUE,FALSE
1967,Unable,43,TRUE,TRUE
1970,Often,44,TRUE,FALSE
1974,Unable,57,FALSE,TRUE
