id,carpool,cars_per_driver,hhsize,commute,social
328875,TRUE,1,2,FALSE,FALSE
645199,TRUE,1,2,FALSE,TRUE
360871,TRUE,2,2,TRUE,FALSE
102724,TRUE,1,4,FALSE,FALSE
441832,FALSE,1,1,FALSE,FALSE
375396,TRUE,1,2,FALSE,FALSE
629278,TRUE,1,3,FALSE,FALSE
107526,FALSE,1.5,3,FALSE,FALSE
644825,FALSE,1,1,FALSE,FALSE
224197,FALSE,1,2,FALSE,FALSE
702108,TRUE,2,2,FALSE,TRUE
234884,TRUE,0.75,5,FALSE,FALSE
731563,TRUE,1,3,FALSE,FALSE
176813,TRUE,1,3,FALSE,FALSE
74709,TRUE,0.6666666666666666,4,FALSE,FALSE
575034,FALSE,1,1,FALSE,FALSE
687148,TRUE,1.5,3,FALSE,FALSE
691238,FALSE,1,3,FALSE,FALSE
175405,FALSE,1,3,FALSE,FALSE
144259,FALSE,1,2,FALSE,FALSE
611182,FALSE,1,5,TRUE,FALSE
439515,TRUE,1,2,FALSE,FALSE
109582,FALSE,1.3333333333333333,4,TRUE,FALSE
137085,TRUE,1.5,2,FALSE,FALSE
362039,FALSE,1,2,FALSE,FALSE
651899,FALSE,2,2,FALSE,FALSE
380263,FALSE,1,2,FALSE,FALSE
589526,TRUE,1,5,FALSE,FALSE
344728,TRUE,1,2,FALSE,FALSE
593691,TRUE,3,2,FALSE,FALSE
64440,FALSE,1,2,FALSE,FALSE
179823,TRUE,1,4,FALSE,FALSE
431869,TRUE,1.5,2,FALSE,TRUE
337837,FALSE,2,1,FALSE,FALSE
155769,TRUE,1,3,FALSE,FALSE
11019,TRUE,1,5,TRUE,FALSE
261523,TRUE,1,6,FALSE,TRUE
146420,FALSE,1,1,FALSE,FALSE
360603,FALSE,1.5,2,TRUE,FALSE
326786,FALSE,1,1,FALSE,FALSE
154918,FALSE,1,2,FALSE,FALSE
169239,TRUE,1.25,5,FALSE,TRUE
606381,FALSE,1,2,FALSE,FALSE
379549,FALSE,1.6666666666666667,3,TRUE,FALSE
185807,TRUE,1,7,FALSE,FALSE
231402,FALSE,1,5,FALSE,TRUE
182823,TRUE,2,1,FALSE,FALSE
363540,TRUE,1.5,3,FALSE,FALSE
362519,FALSE,0.6666666666666666,3,FALSE,FALSE
397905,TRUE,1,3,FALSE,FALSE
540051,TRUE,1,4,FALSE,FALSE
406908,TRUE,1,2,FALSE,FALSE
667630,TRUE,1.3333333333333333,3,FALSE,FALSE
540680,TRUE,2,2,FALSE,FALSE
20976,FALSE,1,2,FALSE,FALSE
489227,FALSE,1,1,FALSE,FALSE
175785,TRUE,1,2,FALSE,TRUE
256537,FALSE,1,2,FALSE,FALSE
190664,FALSE,1,1,FALSE,FALSE
779920,FALSE,1.5,3,FALSE,FALSE
511465,TRUE,1,4,FALSE,FALSE
114967,FALSE,0.75,4,FALSE,TRUE
674120,TRUE,2,1,FALSE,FALSE
331166,FALSE,1.5,2,FALSE,FALSE
181785,FALSE,1,1,FALSE,FALSE
723666,TRUE,1.5,3,FALSE,FALSE
361813,FALSE,1,1,FALSE,FALSE
638556,TRUE,2,4,FALSE,FALSE
196558,FALSE,1,5,FALSE,FALSE
472310,TRUE,0.3333333333333333,4,FALSE,FALSE
57880,FALSE,1,2,TRUE,FALSE
673006,TRUE,1,1,FALSE,TRUE
420467,FALSE,2,1,FALSE,FALSE
694768,TRUE,1,2,FALSE,FALSE
323963,FALSE,1,5,FALSE,FALSE
486360,FALSE,1,4,TRUE,FALSE
440169,TRUE,1.2,6,FALSE,FALSE
151851,FALSE,1.5,2,FALSE,FALSE
81247,FALSE,1,2,TRUE,FALSE
30574,TRUE,1.5,2,FALSE,FALSE
790488,FALSE,1,2,FALSE,FALSE
610717,FALSE,3,1,FALSE,FALSE
202973,FALSE,1,2,FALSE,FALSE
243703,FALSE,1,1,FALSE,FALSE
298860,TRUE,1,2,FALSE,FALSE
576061,TRUE,1,5,FALSE,FALSE
346187,FALSE,1,1,FALSE,FALSE
564034,TRUE,1,3,FALSE,FALSE
406554,FALSE,1,2,FALSE,FALSE
661395,TRUE,1,2,FALSE,FALSE
788539,FALSE,1,1,FALSE,FALSE
410069,TRUE,1,3,FALSE,FALSE
525322,FALSE,0.5,4,FALSE,FALSE
57718,FALSE,1,1,FALSE,TRUE
188308,TRUE,1,1,FALSE,TRUE
62593,FALSE,3,1,FALSE,FALSE
212821,TRUE,1,3,FALSE,FALSE
675686,FALSE,0.5,2,FALSE,FALSE
487429,FALSE,1,2,FALSE,FALSE
77907,TRUE,0.5,2,FALSE,FALSE
693635,FALSE,1.5,3,FALSE,FALSE
39918,TRUE,1,4,FALSE,FALSE
46287,TRUE,3,1,FALSE,FALSE
270634,FALSE,5,2,TRUE,FALSE
237879,TRUE,1,2,FALSE,FALSE
708938,FALSE,1.5,3,TRUE,FALSE
637709,FALSE,1.5,2,FALSE,FALSE
547745,FALSE,1.5,2,FALSE,FALSE
612917,FALSE,1,3,TRUE,FALSE
461214,TRUE,1.5,2,FALSE,FALSE
159018,TRUE,0.5,2,FALSE,FALSE
65445,TRUE,1.5,2,FALSE,FALSE
721704,FALSE,1.5,2,FALSE,FALSE
297540,FALSE,1,3,FALSE,FALSE
251695,FALSE,1,2,FALSE,FALSE
227240,FALSE,1,2,TRUE,FALSE
80789,FALSE,1.5,4,FALSE,FALSE
141770,FALSE,1,2,FALSE,FALSE
508204,TRUE,1,4,FALSE,FALSE
13341,TRUE,1,2,FALSE,FALSE
108186,TRUE,1,5,FALSE,FALSE
783238,FALSE,1.5,2,FALSE,FALSE
218414,FALSE,1,3,FALSE,FALSE
91048,TRUE,2,2,FALSE,FALSE
409524,TRUE,2,2,FALSE,FALSE
267929,TRUE,1,4,FALSE,FALSE
234322,TRUE,1,2,FALSE,FALSE
498696,FALSE,1,2,FALSE,FALSE
481459,TRUE,1,2,FALSE,FALSE
664803,TRUE,1,2,FALSE,FALSE
261373,FALSE,2,2,FALSE,FALSE
38972,FALSE,1.5,2,FALSE,FALSE
684076,FALSE,1,1,FALSE,FALSE
142718,FALSE,1,3,TRUE,FALSE
82088,FALSE,1,3,FALSE,FALSE
157434,TRUE,2,2,FALSE,FALSE
581160,TRUE,1,2,FALSE,FALSE
664664,TRUE,1,2,FALSE,FALSE
96048,TRUE,3,2,FALSE,FALSE
454672,FALSE,1,3,FALSE,FALSE
118633,TRUE,1,4,FALSE,FALSE
285619,TRUE,1,2,FALSE,FALSE
396182,FALSE,1,3,FALSE,FALSE
126035,TRUE,1,3,FALSE,FALSE
632453,FALSE,1,2,FALSE,FALSE
13716,TRUE,1,3,FALSE,FALSE
565398,TRUE,1,2,FALSE,FALSE
140735,TRUE,2.5,4,FALSE,FALSE
94748,FALSE,1,1,TRUE,FALSE
755202,FALSE,1,1,FALSE,FALSE
352136,FALSE,1,1,FALSE,FALSE
22247,FALSE,1.5,3,FALSE,FALSE
294494,FALSE,1.5,2,FALSE,FALSE
371890,TRUE,1,1,FALSE,FALSE
360935,TRUE,1.75,10,FALSE,FALSE
222387,TRUE,1.5,2,FALSE,TRUE
261350,TRUE,1,2,FALSE,FALSE
395557,FALSE,1,1,FALSE,FALSE
242319,TRUE,1,3,FALSE,FALSE
605936,FALSE,1,1,FALSE,FALSE
481361,FALSE,0.5,2,FALSE,FALSE
47151,TRUE,2.5,5,FALSE,FALSE
390042,FALSE,1,1,FALSE,FALSE
511398,TRUE,2,2,FALSE,FALSE
369272,TRUE,1,6,FALSE,FALSE
599371,FALSE,1,2,FALSE,FALSE
321476,FALSE,2.5,2,TRUE,FALSE
215811,FALSE,2,1,FALSE,FALSE
756010,FALSE,1,4,FALSE,FALSE
318040,FALSE,1,2,FALSE,FALSE
287524,FALSE,1,1,FALSE,FALSE
509823,FALSE,2,1,FALSE,FALSE
273935,FALSE,1,2,FALSE,FALSE
718662,FALSE,1,4,FALSE,FALSE
328011,FALSE,1,2,FALSE,FALSE
478272,FALSE,1,1,FALSE,FALSE
73301,FALSE,1,1,TRUE,FALSE
299939,TRUE,1,2,FALSE,FALSE
462398,TRUE,2.5,2,FALSE,FALSE
158710,FALSE,1,2,FALSE,FALSE
447493,TRUE,2,1,FALSE,FALSE
9607,FALSE,1,2,FALSE,FALSE
532045,TRUE,1,4,FALSE,FALSE
493091,FALSE,2,1,FALSE,FALSE
745747,TRUE,1,3,FALSE,TRUE
633967,TRUE,0.6666666666666666,5,FALSE,FALSE
458107,TRUE,0.5,2,FALSE,FALSE
455577,FALSE,1,2,TRUE,FALSE
475498,FALSE,1,4,FALSE,FALSE
637090,TRUE,1.5,2,FALSE,TRUE
388408,TRUE,1,3,FALSE,FALSE
90440,TRUE,1,2,FALSE,FALSE
385390,FALSE,1.5,2,FALSE,FALSE
235469,FALSE,1,2,FALSE,FALSE
262603,TRUE,1,4,FALSE,FALSE
790452,TRUE,2,2,FALSE,FALSE
790162,TRUE,1,3,FALSE,FALSE
121164,FALSE,1.5,2,TRUE,FALSE
636510,FALSE,1,4,FALSE,FALSE
264039,TRUE,1.3333333333333333,3,FALSE,FALSE
411200,FALSE,1,2,FALSE,FALSE
108022,TRUE,1,1,FALSE,FALSE
80334,TRUE,1,3,FALSE,FALSE
459084,FALSE,1.5,3,FALSE,FALSE
169159,TRUE,1.5,3,FALSE,FALSE
468833,TRUE,1.5,2,FALSE,FALSE
569190,TRUE,1,2,FALSE,FALSE
118646,TRUE,1,2,FALSE,FALSE
136536,FALSE,1,1,FALSE,FALSE
569214,TRUE,0,4,FALSE,FALSE
564360,TRUE,1,4,FALSE,FALSE
696804,FALSE,1,2,FALSE,FALSE
480821,FALSE,2,1,FALSE,FALSE
764286,FALSE,1,2,FALSE,FALSE
566014,TRUE,1,2,FALSE,FALSE
153360,FALSE,1.5,2,FALSE,FALSE
549532,FALSE,1,1,FALSE,FALSE
250970,TRUE,1,4,FALSE,FALSE
187722,FALSE,1.3333333333333333,4,TRUE,FALSE
26338,TRUE,1,4,FALSE,FALSE
224068,TRUE,1,1,TRUE,FALSE
194428,FALSE,1,4,FALSE,TRUE
528378,FALSE,1,4,FALSE,FALSE
156889,FALSE,1,3,FALSE,FALSE
310273,FALSE,2,1,FALSE,FALSE
687166,TRUE,2,2,FALSE,FALSE
93719,FALSE,1,2,FALSE,FALSE
260118,TRUE,1,3,FALSE,FALSE
99389,FALSE,1,1,FALSE,FALSE
